Titel,År,Regi,Land,Genre,Längd,Skådespelare,Producent,Musik,Specialeffekter,Recension,Sökväg,Mitt Betyg,Disk 1,DIsk 2
Santa Sangre,1989,Alejandro Jodorowsky,Mexiko/Italien,"Drama, Fantasy",123 min,"Axel Jodorowsky, Blanca Guerra",Claudio Argento,Simon Boswell,N/A,[Recension](https://www.google.com/search?q=Santa+Sangre+1989+movie+review),D:\Film klassiker europa 1960 -\Santa Sangre (1989) (1080p BluRay HEVC x265 10bit DTS-HD 5.1)[DHB].mkv,,,X
Sátántangó,1994,Béla Tarr,Ungern/Tyskland,Drama,439 min,"Mihály Vig, Putyi Horváth",Joachim von Vietinghoff,Mihály Vig,N/A,[Recension](https://www.google.com/search?q=Satantango+1994+movie+review),D:\Film klassiker europa 1960 -\Satantango.1994.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Shame (Skammen),1968,Ingmar Bergman,Sverige,"Drama, War",103 min,"Liv Ullmann, Max von Sydow",Lars-Owe Höglund,N/A,N/A,[Recension](https://www.google.com/search?q=Shame+Skammen+Bergman+review),D:\Film klassiker europa 1960 -\Shame.1968.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Siberiade,1979,Andrei Konchalovsky,Sovjetunionen,"Drama, History",275 min,"Vladimir Samoylov, Vitaly Solomin",Erik Weissberg,Eduard Artemyev,N/A,[Recension](https://www.google.com/search?q=Siberiade+1979+movie+review),D:\Film klassiker europa 1960 -\Siberiade.1979.480p.DVDRip.x264.AAC-[YTS.MX].mp4,,,X
Smiles of a Summer Night (Sommarnattens leende),1955,Ingmar Bergman,Sverige,"Comedy, Romance",108 min,"Ulla Jacobsson, Eva Dahlbeck",Allan Ekelund,Erik Nordgren,N/A,[Recension](https://www.google.com/search?q=Smiles+of+a+Summer+Night+review),D:\Film klassiker europa 1960 -\Smiles.Of.A.Summer.Night.1955.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Smugglarkungen,1985,Sune Lund-Sørensen,Sverige,"Action, Comedy",100 min,"Janne 'Loffe' Carlsson, Björn Skifs",Ingemar Ejve,Bengt Palmers,N/A,[Recension](https://www.google.com/search?q=Smugglarkungen+1985+review),D:\Film klassiker europa 1960 -\Smugglarkungen.1985.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Wild Strawberries (Smultronstället),1957,Ingmar Bergman,Sverige,Drama,91 min,"Victor Sjöström, Bibi Andersson",Allan Ekelund,Erik Nordgren,N/A,[Recension](https://www.google.com/search?q=Wild+Strawberries+Bergman+review),D:\Film klassiker europa 1960 -\SmultronstÑllet.mp4,,,X
Splendor,1989,Ettore Scola,Italien/Frankrike,Drama,110 min,"Marcello Mastroianni, Marina Vlady",Mario Cecchi Gori,Armando Trovajoli,N/A,[Recension](https://www.google.com/search?q=Splendor+Ettore+Scola+review),D:\Film klassiker europa 1960 -\Splendor.1989.720p.BluRay.x264-CiNEFiLE.mkv,,,X
Stalker,1979,Andrei Tarkovsky,Sovjetunionen,"Sci-Fi, Drama",162 min,"Alisa Freyndlikh, Aleksandr Kaydanovskiy",Alexandra Demidova,Eduard Artemyev,N/A,[Recension](https://www.google.com/search?q=Stalker+Tarkovsky+review),D:\Film klassiker europa 1960 -\Stalker.1979.REMASTERED.1080p.BluRay.H264.AAC-VXT.mp4,,,X
Stroszek,1977,Werner Herzog,Västtyskland,"Comedy, Drama",108 min,"Bruno S., Eva Mattes",Werner Herzog,N/A,N/A,[Recension](https://www.google.com/search?q=Stroszek+Werner+Herzog+review),D:\Film klassiker europa 1960 -\Stroszek.1977.1080p.BluRay.x264-[YTS.LT].mp4,,,X
Suma Summarum,2010,N/A,Tyskland/Ungern,"Dokumentär, Drama",90 min,N/A,N/A,N/A,N/A,[Recension](https://www.google.com/search?q=Suma+Summarum+2010+movie+review),D:\Film klassiker europa 1960 -\Suma.Summarum.2010.1080p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
Summer with Monika (Sommaren med Monika),1953,Ingmar Bergman,Sverige,"Drama, Romance",96 min,"Harriet Andersson, Lars Ekborg",Allan Ekelund,Erik Nordgren,N/A,[Recension](https://www.google.com/search?q=Summer+with+Monika+Bergman+review),D:\Film klassiker europa 1960 -\Summer.With.Monika.1953.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Tess,1979,Roman Polanski,Frankrike/UK,"Drama, Romance",186 min,"Nastassja Kinski, Peter Firth",Claude Berri,Philippe Sarde,N/A,[Recension](https://www.google.com/search?q=Tess+Polanski+review),D:\Film klassiker europa 1960 -\Tess.1979.1080p.BluRay.x264-[YTS.AG].mp4,,,X
That Obscure Object of Desire,1977,Luis Buñuel,Frankrike/Spanien,"Comedy, Drama",103 min,"Fernando Rey, Carole Bouquet",Serge Silberman,N/A,N/A,[Recension](https://www.google.com/search?q=That+Obscure+Object+of+Desire+review),D:\Film klassiker europa 1960 -\That.Obscure.Object.Of.Desire.1977.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The American Friend,1977,Wim Wenders,Västtyskland/Frankrike,"Crime, Drama",125 min,"Dennis Hopper, Bruno Ganz",Joachim von Mengershausen,Jürgen Knieper,N/A,[Recension](https://www.google.com/search?q=The+American+Friend+Wenders+review),D:\Film klassiker europa 1960 -\The American.Friend.1977.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Baby of Mâcon,1993,Peter Greenaway,UK/Frankrike,"Drama, History",122 min,"Julia Ormond, Ralph Fiennes",Kees Kasander,N/A,N/A,[Recension](https://www.google.com/search?q=The+Baby+of+Macon+review),D:\Film klassiker europa 1960 -\The Baby.Of.Macon.1993.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
The Belly of an Architect,1987,Peter Greenaway,UK/Italien,Drama,118 min,"Brian Dennehy, Chloe Webb",Colin Callender,Wim Mertens,N/A,[Recension](https://www.google.com/search?q=The+Belly+of+an+Architect+review),D:\Film klassiker europa 1960 -\The Belly.Of.An.Architect.1987.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
The Boys from Brazil,1978,Franklin J. Schaffner,UK/USA,"Sci-Fi, Thriller",125 min,"Gregory Peck, Laurence Olivier",Martin Richards,Jerry Goldsmith,N/A,[Recension](https://www.google.com/search?q=The+Boys+from+Brazil+1978+review),D:\Film klassiker europa 1960 -\The Boys.From.Brazil.1978.1080p.BluRay.x264-[YTS.mp4,,,X
The Crazy Stranger (Gadjo dilo),1997,Tony Gatlif,Frankrike/Rumänien,"Comedy, Drama",102 min,"Romain Duris, Rona Hartner",Guy Claude Roche,Tony Gatlif,N/A,[Recension](https://www.google.com/search?q=Gadjo+dilo+The+Crazy+Stranger+review),D:\Film klassiker europa 1960 -\The Crazy.Stranger.1997.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Discreet Charm of the Bourgeoisie,1972,Luis Buñuel,Frankrike/Italien,"Comedy, Drama",102 min,"Fernando Rey, Delphine Seyrig",Serge Silberman,N/A,N/A,[Recension](https://www.google.com/search?q=The+Discreet+Charm+of+the+Bourgeoisie+review),D:\Film klassiker europa 1960 -\The Discreet.Charm.of.the.Bourgeoisie.1972.FRENCH.2160p.UHD.BluRay.x265.10bit.HDR.DDP2.mkv,,,X
The Double Life of Veronique,1991,Krzysztof Kieślowski,Frankrike/Polen,"Drama, Fantasy",98 min,"Irène Jacob, Wladyslaw Kowalski",Leonardo De La Fuente,Zbigniew Preisner,N/A,[Recension](https://www.google.com/search?q=The+Double+Life+of+Veronique+review),D:\Film klassiker europa 1960 -\The Double.Life.of.Veronique.1991.FRENCH.2160p.UHD.BluRay.x265.10bit.HDR.DDP5.mkv,,,X
The Draughtsman's Contract,1982,Peter Greenaway,UK,"Comedy, Drama",103 min,"Anthony Higgins, Janet Suzman",David Puttnam,Michael Nyman,N/A,[Recension](https://www.google.com/search?q=The+Draughtsmans+Contract+review),D:\Film klassiker europa 1960 -\The Draughtsmans.Contract.1982.720p.BluRay.H264.mp4,,,X
The Enigma of Kaspar Hauser,1974,Werner Herzog,Västtyskland,"Biography, Drama",110 min,"Bruno S., Walter Ladengast",Werner Herzog,Popol Vuh,N/A,[Recension](https://www.google.com/search?q=The+Enigma+of+Kaspar+Hauser+review),D:\Film klassiker europa 1960 -\The Enigma.Of.Kaspar.Hauser.1974.1080p.BluRay.x264-[YTS.mkv,,,X
The Enigma of Kaspar Hauser (Copy),1974,Werner Herzog,Västtyskland,"Biography, Drama",110 min,"Bruno S., Walter Ladengast",Werner Herzog,Popol Vuh,N/A,[Recension](https://www.google.com/search?q=The+Enigma+of+Kaspar+Hauser+review),D:\Film klassiker europa 1960 -\The Enigma.Of.Kaspar.Hauser.1974.1080p.BluRay.x264-[YTS.mp4,,,X
The French Lieutenant's Woman,1981,Karel Reisz,UK,"Drama, Romance",124 min,"Meryl Streep, Jeremy Irons",Leon Clore,Carl Davis,N/A,[Recension](https://www.google.com/search?q=The+French+Lieutenants+Woman+review),D:\Film klassiker europa 1960 -\The French.Lieutenants.Woman.1981.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
The Girl on the Bridge,1999,Patrice Leconte,Frankrike,"Comedy, Drama",90 min,"Vanessa Paradis, Daniel Auteuil",Christian Fechner,N/A,N/A,[Recension](https://www.google.com/search?q=The+Girl+on+the+Bridge+Patrice+Leconte+review),D:\Film klassiker europa 1960 -\The Girl on the Bridge (1999) (1080p BluRay x265 10bit r00t).mkv,,,X
The Hanoi Hilton,1987,Lionel Chetwynd,USA,"Drama, War",125 min,"Michael Moriarty, Jeffrey Jones",Menahem Golan,N/A,N/A,[Recension](https://www.google.com/search?q=The+Hanoi+Hilton+1987+movie+review),D:\Film klassiker europa 1960 -\The Hanoi.Hilton.1987.1080p.WEBRip.x264.AAC-[YTS.mp4,,,X
The Judge and the Assassin,1976,Bertrand Tavernier,Frankrike,"Comedy, Crime",128 min,"Philippe Noiret, Michel Galabru",Raymond Danon,Philippe Sarde,N/A,[Recension](https://www.google.com/search?q=The+Judge+and+the+Assassin+review),D:\Film klassiker europa 1960 -\The Judge.And.The.Assassin.1976.1080p.BluRay.x264.AAC-[YTS.mp4,,,X
The Long Good Friday,1980,John Mackenzie,UK,"Action, Crime",114 min,"Bob Hoskins, Helen Mirren",Barry Hanson,Francis Monkman,N/A,[Recension](https://www.google.com/search?q=The+Long+Good+Friday+1980+review),D:\Film klassiker europa 1960 -\The Long.Good.Friday.1980.1080p.BluRay.x264.mp4,,,X
The Mirror (Zerkalo),1975,Andrei Tarkovsky,Sovjetunionen,"Biography, Drama",107 min,"Margarita Terekhova, Filipp Yankovskiy",Erik Weissberg,Eduard Artemyev,N/A,[Recension](https://www.google.com/search?q=The+Mirror+Tarkovsky+review),D:\Film klassiker europa 1960 -\The Mirror.1975.1080p.BluRay.x264-[YTS.mp4,,,X
The Mission,1986,Roland Joffé,UK,"Adventure, Drama",125 min,"Robert De Niro, Jeremy Irons",Fernando Ghia,Ennio Morricone,N/A,[Recension](https://www.google.com/search?q=The+Mission+1986+movie+review),D:\Film klassiker europa 1960 -\The Mission (1986) BDRip 1080p H264 ITA AC3 2.0 ENG AC3 5.1 Sub Ita [ArMor][D3Lt4_CreW].mkv,,,X
The Name of the Rose,1986,Jean-Jacques Annaud,Västtyskland/Italien,"Crime, Drama",130 min,"Sean Connery, Christian Slater",Bernd Eichinger,James Horner,N/A,[Recension](https://www.google.com/search?q=The+Name+of+the+Rose+1986+review),D:\Film klassiker europa 1960 -\The Name Of The Rose (1986) 720p-BDrip-x264-Multisubs-HDClone.mkv,,,X
The Quack (Znachor),1982,Jerzy Hoffman,Polen,"Drama, Romance",133 min,"Jerzy Bińczycki, Anna Dymna",N/A,Piotr Marczewski,N/A,[Recension](https://www.google.com/search?q=The+Quack+Znachor+1982+review),D:\Film klassiker europa 1960 -\The Quack.1982.720p.BluRay.x264.AAC-[YTS.mp4,,,X
The Sacrifice (Offret),1986,Andrei Tarkovsky,Sverige/Frankrike,Drama,149 min,"Erland Josephson, Susan Fleetwood",Anna-Lena Wibom,N/A,N/A,[Recension](https://www.google.com/search?q=The+Sacrifice+Tarkovsky+review),D:\Film klassiker europa 1960 -\The Sacrifice.1986.1080p.BluRay.x264-[YTS.mp4,,,X
The Serpent's Egg,1977,Ingmar Bergman,Västtyskland/USA,"Drama, Mystery",119 min,"David Carradine, Liv Ullmann",Dino De Laurentiis,Rolf Wilhelm,N/A,[Recension](https://www.google.com/search?q=The+Serpents+Egg+Bergman+review),D:\Film klassiker europa 1960 -\The Serpents.Egg.1977.1080p.BluRay.H264.mp4,,,X
The Story of Adele H.,1975,François Truffaut,Frankrike,"Biography, Drama",96 min,"Isabelle Adjani, Bruce Robinson",Marcel Berbert,Maurice Jaubert,N/A,[Recension](https://www.google.com/search?q=The+Story+of+Adele+H+review),D:\Film klassiker europa 1960 -\The Story.of.Adele.H.1975.1080p.BluRay.mp4,,,X
The Taste of Things,2023,Anh Hung Tran,Frankrike,"Drama, Romance",135 min,"Juliette Binoche, Benoît Magimel",Olivier Delbosc,N/A,N/A,[Recension](https://www.google.com/search?q=The+Taste+of+Things+2023+review),D:\Film klassiker europa 1960 -\The Taste.Of.Things.2023.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Terrace (La terrazza),1980,Ettore Scola,Italien/Frankrike,Drama,155 min,"Marcello Mastroianni, Vittorio Gassman",Pio Angeletti,Armando Trovajoli,N/A,[Recension](https://www.google.com/search?q=The+Terrace+Ettore+Scola+review),D:\Film klassiker europa 1960 -\The Terrace.1980.ITALIAN.1080p.BluRay.mp4,,,X
The Ugly Stepsister,2025,Emil Jonsvik,Sverige,"Comedy, Fantasy",95 min,N/A,N/A,N/A,N/A,[Recension](https://www.google.com/search?q=The+Ugly+Stepsister+2025+movie+review),D:\Film klassiker europa 1960 -\The Ugly.Stepsister.2025.2160p.4K.WEB.x265.10bit.AAC5.1-[YTS.mkv,,,X
The White Dawn,1974,Philip Kaufman,USA/Kanada,"Adventure, Drama",110 min,"Warren Oates, Timothy Bottoms",Martin Ransohoff,Henry Mancini,N/A,[Recension](https://www.google.com/search?q=The+White+Dawn+1974+movie+review),D:\Film klassiker europa 1960 -\The White.Dawn.1974.1080p.BluRay.x264.AAC5.1-[YTS.mp4,,,X
The Wonders (Le meraviglie),2014,Alice Rohrwacher,Italien/Schweiz,Drama,110 min,"Maria Alexandra Lungu, Sam Louwyck",Carlo Cresto-Dina,N/A,N/A,[Recension](https://www.google.com/search?q=The+Wonders+Alice+Rohrwacher+review),D:\Film klassiker europa 1960 -\The Wonders.2014.1080p.WEBRip.x264.AAC5.1-[YTS.mp4,,,X
The Working Class Goes to Heaven,1971,Elio Petri,Italien,Drama,125 min,"Gian Maria Volonté, Mariangela Melato",Ugo Tucci,Ennio Morricone,N/A,[Recension](https://www.google.com/search?q=The+Working+Class+Goes+To+Heaven+review),D:\Film klassiker europa 1960 -\The Working.Class.Goes.to.Heaven.1971.ITALIAN.1080p.WEBRip.mp4,,,X
The Beautiful Troublemaker (La Belle Noiseuse),1991,Jacques Rivette,Frankrike/Schweiz,Drama,238 min,"Michel Piccoli, Emmanuelle Béart",Maurice Tinchant,N/A,N/A,[Recension](https://www.google.com/search?q=La+Belle+Noiseuse+review),D:\Film klassiker europa 1960 -\The.Beautiful.Troublemaker.1991.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Crazy Stranger (Duplicate),1997,Tony Gatlif,Frankrike/Rumänien,"Comedy, Drama",102 min,"Romain Duris, Rona Hartner",Guy Claude Roche,Tony Gatlif,N/A,[Recension](https://www.google.com/search?q=Gadjo+dilo+The+Crazy+Stranger+review),D:\Film klassiker europa 1960 -\The.Crazy.Stranger.1997.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
The Dance of Reality,2013,Alejandro Jodorowsky,Chile/Frankrike,"Biography, Drama",130 min,"Brontis Jodorowsky, Pamela Flores",Alejandro Jodorowsky,Adan Jodorowsky,N/A,[Recension](https://www.google.com/search?q=The+Dance+of+Reality+review),D:\Film klassiker europa 1960 -\The.Dance.Of.Reality.2013.1080p.BluRay.x264-[YTS.AM].mp4,,,X
The Holy Mountain,1973,Alejandro Jodorowsky,Mexiko/USA,"Drama, Fantasy",114 min,"Alejandro Jodorowsky, Horacio Salinas",Allen Klein,Alejandro Jodorowsky,N/A,[Recension](https://www.google.com/search?q=The+Holy+Mountain+Jodorowsky+review),D:\Film klassiker europa 1960 -\The.Holy.Mountain.1973.108,,,
The Mirror (Zerkalo),1975,Andrei Tarkovsky,Sovjetunionen,Drama,107 min,"Margarita Terekhova, Filipp Yankovskiy",Erik Weissberg,Eduard Artemyev,N/A,[Recension](https://www.google.com/search?q=The+Mirror+Tarkovsky+review),D:\Film klassiker europa 1960 -\The.Mirror.1975.1080p.BluRay.x264-[YTS.AM].mp4,,,X
The Oldest Profession,1967,"M. Bolognini, P.P. Pasolini et al",Frankrike/Italien,Comedy,119 min,"Michèle Mercier, Enrico Maria Salerno",Joseph Janni,N/A,N/A,[Recension](https://www.google.com/search?q=The+Oldest+Profession+1967+movie+review),D:\Film klassiker europa 1960 -\The.Oldest.Profession.1967.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Passion of Joan of Arc,1928,Carl Theodor Dreyer,Frankrike,"Biography, Drama",114 min,"Maria Falconetti, Eugene Silvain",N/A,Ole Schmidt,N/A,[Recension](https://www.google.com/search?q=The+Passion+of+Joan+of+Arc+review),D:\Film klassiker europa 1960 -\The.Passion.Of.Joan.Of.Arc.1928.1080p.BluRay.x264-[YTS.AM].mp4,,,X
The Rainbow Thief,1990,Alejandro Jodorowsky,UK,"Drama, Fantasy",87 min,"Peter O'Toole, Omar Sharif",Vincent Winter,Bill Conti,N/A,[Recension](https://www.google.com/search?q=The+Rainbow+Thief+1990+movie+review),D:\Film klassiker europa 1960 -\The.Rainbow.Thief.1990.720p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Serpent's Egg,1977,Ingmar Bergman,Västtyskland/USA,"Drama, Mystery",119 min,"David Carradine, Liv Ullmann",Dino De Laurentiis,Rolf Wilhelm,N/A,[Recension](https://www.google.com/search?q=The+Serpents+Egg+Bergman+review),D:\Film klassiker europa 1960 -\The.Serpent's.Egg.1977.1080p.BluRay.x264-[YTS.AM].mp4,,,X
The Tale of Tales,1979,Yuri Norstein,Sovjetunionen,"Animation, Fantasy",29 min,N/A,Soyuzmultfilm,Mikhail Meyerovich,N/A,[Recension](https://www.google.com/search?q=The+Tale+of+Tales+Yuri+Norstein+review),D:\Film klassiker europa 1960 -\The.Tale.Of.Tales.1979.INTERNAL.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
The Virgin Spring,1960,Ingmar Bergman,Sverige,Drama,89 min,"Max von Sydow, Birgitta Valberg",Allan Ekelund,Erik Nordgren,N/A,[Recension](https://www.google.com/search?q=The+Virgin+Spring+Bergman+review),D:\Film klassiker europa 1960 -\The.Virgin.Spring.1960.1080p.BluRay.x264-[YTS.AM].mp4,,,X
"Ugly, Dirty and Bad",1976,Ettore Scola,Italien,"Comedy, Drama",115 min,"Nino Manfredi, Francesco Anniballi",Romano Cardarelli,Armando Trovajoli,N/A,[Recension](https://www.google.com/search?q=Ugly+Dirty+and+Bad+1976+review),D:\Film klassiker europa 1960 -\Ugly.Dirty.and.Bad.1976.REMASTERED.BDRip.x264-VoMiT.mkv,,,X
Une femme à sa fenêtre,1976,Pierre Granier-Deferre,Frankrike,"Drama, Romance",110 min,"Romy Schneider, Philippe Noiret",Albina de Boisrouvray,Carlo Rustichelli,N/A,[Recension](https://www.google.com/search?q=Une+femme+a+sa+fenetre+1976+review),D:\Film klassiker europa 1960 -\Une.Femme.a.Sa.Fenetre.1976.FRENCH.2160p.UHD.4KLight.HEVC.AAC.x265-UKDHD.mkv,,,X
Une femme mariée,1964,Jean-Luc Godard,Frankrike,Drama,95 min,"Macha Méril, Bernard Noël",Philippe Dussart,N/A,N/A,[Recension](https://www.google.com/search?q=Une+femme+mariee+Godard+review),D:\Film klassiker europa 1960 -\Une.Femme.Mariee.1964.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Valmont,1989,Milos Forman,Frankrike/USA,"Drama, Romance",137 min,"Colin Firth, Annette Bening",Michael Hausman,Christopher Palmer,N/A,[Recension](https://www.google.com/search?q=Valmont+1989+movie+review),D:\Film klassiker europa 1960 -\Valmont.1989.1080p.BluRay.x264-[YTS.AG].mp4,,,X
Venus in Fur,2013,Roman Polanski,Frankrike/Polen,Drama,96 min,"Emmanuelle Seigner, Mathieu Amalric",Robert Benmussa,Alexandre Desplat,N/A,[Recension](https://www.google.com/search?q=Venus+in+Fur+Polanski+review),D:\Film klassiker europa 1960 -\Venus.In.Fur.2013.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Vermiglio,2024,Maura Delpero,Italien/Frankrike,Drama,119 min,"Tommaso Ragno, Giuseppe De Domenico",Francesca Andreoli,N/A,N/A,[Recension](https://www.google.com/search?q=Vermiglio+2024+movie+review),D:\Film klassiker europa 1960 -\Vermiglio.2024.iTALiAN.AC3.SUB.iTA.ENG.BluRay.HEVC.1080p.x265.jeddak-MIRCrew.mkv,,,X
We All Loved Each Other So Much,1974,Ettore Scola,Italien,"Comedy, Drama",124 min,"Nino Manfredi, Vittorio Gassman",Pio Angeletti,Armando Trovajoli,N/A,[Recension](https://www.google.com/search?q=We+All+Loved+Each+Other+So+Much+review),D:\Film klassiker europa 1960 -\We All Loved Each Other So Much.Ettore Scola.1974.BluRay.HANDJOB.mkv,,,X
Winter Light,1963,Ingmar Bergman,Sverige,Drama,81 min,"Ingrid Thulin, Gunnar Björnstrand",Allan Ekelund,N/A,N/A,[Recension](https://www.google.com/search?q=Winter+Light+Bergman+review),D:\Film klassiker europa 1960 -\Winter.Light.1963.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Woyzeck,1979,Werner Herzog,Västtyskland,Drama,82 min,"Klaus Kinski, Eva Mattes",Werner Herzog,N/A,N/A,[Recension](https://www.google.com/search?q=Woyzeck+Werner+Herzog+review),D:\Film klassiker europa 1960 -\Woyzeck.1979.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Zorba the Greek,1964,Mihalis Kakogiannis,Grekland/USA,Drama,142 min,"Anthony Quinn, Alan Bates",Mihalis Kakogiannis,Mikis Theodorakis,N/A,[Recension](https://www.google.com/search?q=Zorba+the+Greek+1964+movie+review),D:\Film klassiker europa 1960 -\Zorba.The.Greek.1964.1080p.BluRay.x264-[YTS.AG].mp4,,,X
1941,1979,Steven Spielberg,USA,Comedy,118 min,"Dan Aykroyd, John Belushi",Buzz Feitshans,John Williams,N/A,[Recension](https://www.google.com/search?q=1941+Spielberg+movie+review),D:\FIlm Komedi\1941.1979.1080p.BluRay.x264.YIFY.mp4,,,X
A Fish Called Wanda,1988,Charles Crichton,USA/UK,"Comedy, Crime",108 min,"John Cleese, Jamie Lee Curtis",Michael Shamberg,John Du Prez,N/A,[Recension](https://www.google.com/search?q=A+Fish+Called+Wanda+review),D:\FIlm Komedi\A.Fish.Called.Wanda.1988.1080p.BluRay.x264-[YTS.AM].mp4,,,X
Airplane!,1980,"Jim Abrahams, David Zucker, Jerry Zucker",USA,Comedy,88 min,"Robert Hays, Julie Hagerty",Jon Davison,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Airplane+1980+movie+review),D:\FIlm Komedi\Airplane - 1980.mp4,,,X
Airplane II: The Sequel,1982,Ken Finkleman,USA,Comedy,85 min,"Robert Hays, Julie Hagerty",Howard W. Koch,Richard Hazard,N/A,[Recension](https://www.google.com/search?q=Airplane+II+The+Sequel+review),D:\FIlm Komedi\Airplane II The Sequel.mp4,,,X
Alan Partridge: Alpha Papa,2013,Declan Lowney,UK/Frankrike,Comedy,90 min,"Steve Coogan, Colm Meaney",Kevin Cecil,Ilan Eshkeri,N/A,[Recension](https://www.google.com/search?q=Alan+Partridge+Alpha+Papa+review),D:\FIlm Komedi\Alan.Partridge.Alpha.Papa.2013.1080p.BluRay.x264.YIFY.mp4,,,X
Amazon Women on the Moon,1987,"Joe Dante, John Landis et al",USA,"Comedy, Sci-Fi",85 min,"Rosanna Arquette, Michelle Pfeiffer",Robert K. Weiss,Ira Newborn,N/A,[Recension](https://www.google.com/search?q=Amazon+Women+on+the+Moon+review),D:\FIlm Komedi\Amazon.Women.On.The.Moon.1987.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
And Now for Something Completely Different,1971,Ian MacNaughton,UK,Comedy,88 min,"Graham Chapman, John Cleese",Victor Lownes,N/A,N/A,[Recension](https://www.google.com/search?q=And+Now+for+Something+Completely+Different+review),D:\FIlm Komedi\And.Now.For.Something.Completely.Different.1971.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Animal House,1978,John Landis,USA,Comedy,109 min,"John Belushi, Karen Allen",Ivan Reitman,Elmer Bernstein,N/A,[Recension](https://www.google.com/search?q=Animal+House+1978+movie+review),D:\FIlm Komedi\Animal.House.1978.1080p.BluRay.x265.AAC 5.1-VXT.mp4,,,X
Varning för Jönssonligan,1981,Jonas Cornell,Sverige,"Comedy, Crime",93 min,"Gösta Ekman, Ulf Brunnberg",Ingemar Ejve,Ragnar Grippe,N/A,[Recension](https://www.google.com/search?q=Varning+for+Jonssonligan+1981+review),D:\FIlm Komedi\Beware.Of.The.Jînsson.Gang.1981.1080p.BluRay.x264-[YTS.LT].mp4,,,X
Blackadder: The Lost Pilot,2023,N/A,UK,"Comedy, Documentary",100 min,"Tony Robinson, Rowan Atkinson",N/A,N/A,N/A,[Recension](https://www.google.com/search?q=Blackadder+The+Lost+Pilot+2023+review),D:\FIlm Komedi\Blackadder.The.Lost.Pilot.2023.1080p.BluRay.x264.AAC-[YTS.MX].mp4,,,X
Cannonball Run II,1984,Hal Needham,USA/Hong Kong,"Action, Comedy",108 min,"Burt Reynolds, Dom DeLuise",Albert S. Ruddy,Al Capps,N/A,[Recension](https://www.google.com/search?q=Cannonball+Run+II+review),D:\FIlm Komedi\Cannonball.Run.II.1984.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
Crimewave,1985,Sam Raimi,USA,"Comedy, Crime",83 min,"Louise Lasser, Brian James",Robert Tapert,Joseph LoDuca,N/A,[Recension](https://www.google.com/search?q=Crimewave+1985+movie+review),D:\FIlm Komedi\Crimewave.1985.1080p.BluRay.DDP2.0.x265.10bit-GalaxyRG265.mkv,,,X
Cunk on Shakespeare,2016,Ludo Graham,UK,Comedy,30 min,Diane Morgan,Sam Ward,N/A,N/A,[Recension](https://www.google.com/search?q=Cunk+on+Shakespeare+review),D:\FIlm Komedi\Cunk.On.Shakespeare.2016.720p.WEBRip.x264.AAC-[YTS.MX].mp4,,,X
Dead Men Don't Wear Plaid,1982,Carl Reiner,USA,"Comedy, Crime",88 min,"Steve Martin, Rachel Ward",David V. Picker,Miklós Rózsa,N/A,[Recension](https://www.google.com/search?q=Dead+Men+Don't+Wear+Plaid+review),D:\FIlm Komedi\Dead.Men.Don't.Wear.Plaid.1982.1080p.BluRay.x264.YIFY.mp4,,,X
Dirty Rotten Scoundrels,1988,Frank Oz,USA,"Comedy, Crime",110 min,"Steve Martin, Michael Caine",Bernard Williams,Miles Goodman,N/A,[Recension](https://www.google.com/search?q=Dirty+Rotten+Scoundrels+review),D:\FIlm Komedi\Dirty.Rotten.Scoundrels.1988.1080p.BluRay.x264.AAC5.1-[YTS.MX].mp4,,,X
